iter	Passed	Remaining
0	33	33125
1	67	33645
2	98	32639
3	131	32627
4	160	31850
5	207	34409
6	263	37370
7	296	36705
8	329	36298
9	359	35585
10	393	35398
11	424	34961
12	452	34342
13	481	33899
14	509	33441
15	571	35127
16	600	34711
17	631	34439
18	667	34449
19	701	34352
20	742	34624
21	773	34378
22	808	34330
23	841	34227
24	879	34302
25	908	34021
26	935	33730
27	970	33701
28	1005	33656
29	1032	33397
30	1062	33204
31	1090	32976
32	1129	33090
33	1161	32992
34	1191	32857
35	1220	32685
36	1254	32656
37	1286	32574
38	1319	32515
39	1376	33039
40	1411	33007
41	1440	32862
42	1470	32723
43	1500	32610
44	1531	32492
45	1561	32375
46	1591	32268
47	1625	32246
48	1658	32179
49	1687	32058
50	1720	32009
51	1761	32114
52	1807	32303
53	1850	32418
54	1895	32573
55	1936	32643
56	1999	33078
57	2031	32986
58	2064	32923
59	2095	32829
60	2126	32731
61	2156	32622
62	2187	32536
63	2224	32535
64	2261	32526
65	2297	32510
66	2326	32400
67	2357	32312
68	2386	32195
69	2418	32125
70	2454	32120
71	2500	32225
72	2532	32164
73	2565	32105
74	2599	32058
75	2632	32002
76	2665	31952
77	2697	31885
78	2738	31928
79	2783	32009
80	2819	31989
81	2850	31912
82	2881	31839
83	2911	31747
84	2943	31690
85	2976	31638
86	3008	31576
87	3043	31541
88	3075	31482
89	3107	31421
90	3140	31374
91	3173	31323
92	3208	31288
93	3239	31220
94	3270	31153
95	3288	30968
96	3320	30916
97	3350	30842
98	3380	30767
99	3416	30747
100	3446	30681
101	3478	30625
102	3521	30670
103	3568	30745
104	3604	30728
105	3640	30699
106	3717	31026
107	3755	31015
108	3797	31045
109	3831	31000
110	3866	30965
111	3907	30977
112	3939	30923
113	3986	30981
114	4035	31051
115	4093	31193
116	4129	31168
117	4164	31124
118	4196	31065
119	4230	31025
120	4266	30991
121	4297	30928
122	4330	30880
123	4369	30867
124	4404	30828
125	4435	30764
126	4467	30710
127	4508	30717
128	4542	30669
129	4587	30698
130	4627	30693
131	4658	30632
132	4712	30721
133	4743	30657
134	4796	30735
135	4850	30813
136	4887	30788
137	4923	30753
138	4958	30712
139	4992	30667
140	5026	30621
141	5057	30557
142	5091	30510
143	5134	30524
144	5168	30475
145	5199	30416
146	5237	30390
147	5281	30403
148	5328	30435
149	5359	30371
150	5405	30392
151	5442	30365
152	5484	30361
153	5527	30367
154	5564	30334
155	5601	30303
156	5634	30254
157	5684	30291
158	5724	30280
159	5764	30261
160	5812	30288
161	5862	30328
162	5922	30413
163	5975	30458
164	6003	30379
165	6066	30478
166	6125	30553
167	6174	30576
168	6253	30747
169	6283	30677
170	6312	30604
171	6349	30568
172	6388	30540
173	6428	30515
174	6471	30507
175	6519	30522
176	6571	30555
177	6606	30510
178	6638	30447
179	6670	30389
180	6702	30328
181	6735	30270
182	6761	30188
183	6795	30134
184	6828	30081
185	6860	30023
186	6892	29966
187	6933	29944
188	6979	29950
189	7013	29899
190	7042	29829
191	7070	29753
192	7115	29753
193	7146	29689
194	7179	29638
195	7215	29597
196	7250	29553
197	7283	29503
198	7319	29461
199	7355	29421
200	7389	29374
201	7419	29311
202	7451	29257
203	7482	29197
204	7516	29150
205	7547	29089
206	7579	29037
207	7614	28992
208	7646	28939
209	7679	28891
210	7716	28854
211	7750	28806
212	7776	28733
213	7811	28689
214	7856	28686
215	7889	28635
216	7924	28592
217	7962	28562
218	7992	28504
219	8023	28446
220	8055	28394
221	8085	28336
222	8119	28290
223	8147	28226
224	8177	28168
225	8209	28115
226	8239	28057
227	8272	28010
228	8317	28003
229	8348	27950
230	8381	27901
231	8414	27854
232	8445	27799
233	8478	27753
234	8511	27707
235	8541	27652
236	8574	27606
237	8606	27555
238	8655	27560
239	8687	27510
240	8722	27469
241	8778	27495
242	8827	27498
243	8869	27481
244	8934	27532
245	8967	27484
246	9001	27442
247	9044	27425
248	9086	27404
249	9122	27366
250	9153	27313
251	9182	27257
252	9215	27210
253	9247	27160
254	9279	27111
255	9313	27068
256	9353	27041
257	9398	27029
258	9429	26978
259	9461	26928
260	9493	26878
261	9524	26828
262	9560	26792
263	9589	26735
264	9619	26680
265	9649	26627
266	9677	26566
267	9710	26523
268	9743	26477
269	9775	26430
270	9807	26383
271	9838	26333
272	9878	26306
273	9910	26259
274	9948	26226
275	9991	26210
276	10026	26171
277	10061	26129
278	10106	26118
279	10140	26075
280	10172	26028
281	10211	25999
282	10244	25956
283	10277	25909
284	10311	25868
285	10343	25821
286	10378	25783
287	10423	25768
288	10456	25726
289	10491	25685
290	10524	25642
291	10557	25597
292	10589	25551
293	10623	25509
294	10673	25506
295	10721	25498
296	10753	25454
297	10787	25412
298	10823	25376
299	10859	25338
300	10892	25295
301	10925	25252
302	10954	25198
303	10986	25152
304	11017	25106
305	11049	25058
306	11083	25018
307	11117	24977
308	11150	24934
309	11181	24887
310	11216	24849
311	11251	24810
312	11284	24768
313	11319	24730
314	11350	24682
315	11381	24634
316	11417	24599
317	11448	24553
318	11479	24507
319	11516	24473
320	11547	24425
321	11578	24379
322	11634	24385
323	11668	24344
324	11715	24332
325	11745	24283
326	11778	24240
327	11813	24203
328	11856	24180
329	11888	24136
330	11921	24096
331	11954	24053
332	11985	24006
333	12014	23956
334	12040	23901
335	12068	23850
336	12099	23804
337	12131	23760
338	12162	23714
339	12200	23683
340	12235	23646
341	12269	23605
342	12302	23565
343	12335	23523
344	12363	23473
345	12400	23439
346	12439	23409
347	12470	23364
348	12500	23317
349	12529	23268
350	12565	23233
351	12609	23213
352	12641	23170
353	12693	23164
354	12728	23126
355	12762	23086
356	12795	23045
357	12828	23004
358	12872	22984
359	12901	22936
360	12933	22893
361	12965	22850
362	12998	22810
363	13043	22789
364	13075	22748
365	13108	22706
366	13142	22668
367	13170	22618
368	13209	22588
369	13253	22567
370	13296	22542
371	13362	22558
372	13412	22545
373	13441	22498
374	13473	22455
375	13504	22411
376	13534	22366
377	13583	22351
378	13617	22312
379	13647	22267
380	13682	22228
381	13715	22189
382	13749	22149
383	13780	22105
384	13810	22061
385	13842	22019
386	13876	21980
387	13926	21966
388	13967	21938
389	14014	21920
390	14061	21902
391	14100	21870
392	14134	21830
393	14166	21788
394	14195	21743
395	14225	21696
396	14259	21658
397	14301	21632
398	14332	21588
399	14365	21548
400	14400	21511
401	14444	21487
402	14471	21438
403	14502	21394
404	14534	21352
405	14565	21310
406	14596	21266
407	14626	21223
408	14667	21193
409	14710	21168
410	14756	21146
411	14836	21174
412	14878	21146
413	14924	21124
414	14957	21085
415	14991	21045
416	15022	21002
417	15064	20974
418	15099	20937
419	15133	20899
420	15166	20858
421	15194	20811
422	15224	20767
423	15263	20735
424	15292	20689
425	15324	20648
426	15360	20613
427	15391	20570
428	15420	20524
429	15454	20485
430	15485	20443
431	15522	20409
432	15551	20364
433	15584	20323
434	15614	20280
435	15642	20234
436	15682	20204
437	15712	20160
438	15746	20122
439	15780	20084
440	15810	20040
441	15840	19998
442	15869	19953
443	15914	19928
444	15942	19883
445	15970	19837
446	16002	19796
447	16034	19756
448	16067	19717
449	16096	19673
450	16128	19633
451	16158	19590
452	16187	19546
453	16215	19501
454	16248	19461
455	16275	19416
456	16306	19375
457	16335	19332
458	16370	19295
459	16397	19249
460	16428	19208
461	16463	19171
462	16495	19132
463	16527	19091
464	16572	19066
465	16600	19023
466	16647	19000
467	16683	18965
468	16715	18924
469	16762	18902
470	16807	18877
471	16842	18840
472	16872	18799
473	16905	18759
474	16937	18720
475	16966	18677
476	17000	18639
477	17041	18610
478	17119	18620
479	17161	18591
480	17225	18586
481	17259	18548
482	17292	18509
483	17321	18466
484	17355	18428
485	17387	18389
486	17419	18349
487	17445	18303
488	17478	18264
489	17530	18245
490	17563	18207
491	17595	18167
492	17631	18132
493	17665	18094
494	17693	18051
495	17723	18009
496	17754	17969
497	17784	17926
498	17815	17886
499	17849	17849
500	17880	17809
501	17907	17764
502	17935	17721
503	17968	17682
504	18009	17653
505	18036	17609
506	18066	17567
507	18101	17531
508	18130	17489
509	18160	17448
510	18189	17406
511	18225	17370
512	18256	17330
513	18289	17293
514	18322	17255
515	18354	17216
516	18394	17184
517	18426	17145
518	18457	17106
519	18487	17064
520	18521	17028
521	18552	16988
522	18583	16949
523	18628	16921
524	18671	16893
525	18705	16856
526	18748	16827
527	18782	16790
528	18814	16751
529	18878	16740
530	18911	16703
531	18943	16664
532	18973	16624
533	19006	16585
534	19040	16549
535	19074	16512
536	19109	16475
537	19141	16437
538	19175	16400
539	19208	16362
540	19241	16325
541	19275	16288
542	19311	16253
543	19346	16216
544	19378	16178
545	19413	16142
546	19446	16105
547	19501	16085
548	19536	16049
549	19571	16013
550	19607	15977
551	19640	15940
552	19673	15902
553	19701	15860
554	19734	15823
555	19767	15785
556	19799	15747
557	19849	15723
558	19880	15684
559	19912	15645
560	19946	15608
561	19985	15575
562	20019	15539
563	20051	15500
564	20084	15463
565	20119	15427
566	20151	15389
567	20185	15352
568	20218	15315
569	20249	15276
570	20282	15238
571	20319	15204
572	20356	15169
573	20404	15143
574	20456	15119
575	20490	15083
576	20524	15046
577	20560	15011
578	20591	14972
579	20625	14935
580	20658	14898
581	20696	14864
582	20745	14838
583	20783	14804
584	20813	14765
585	20846	14728
586	20876	14688
587	20908	14650
588	20959	14625
589	20991	14587
590	21022	14548
591	21055	14511
592	21103	14484
593	21185	14480
594	21235	14454
595	21291	14432
596	21326	14396
597	21359	14358
598	21392	14321
599	21437	14291
600	21473	14256
601	21507	14219
602	21538	14180
603	21584	14151
604	21624	14118
605	21684	14098
606	21717	14061
607	21751	14024
608	21785	13986
609	21817	13948
610	21848	13909
611	21880	13871
612	21910	13832
613	21941	13793
614	21972	13755
615	22001	13715
616	22032	13676
617	22067	13640
618	22114	13611
619	22144	13572
620	22173	13532
621	22200	13491
622	22231	13452
623	22262	13414
624	22304	13382
625	22337	13345
626	22371	13308
627	22401	13269
628	22434	13232
629	22468	13195
630	22500	13158
631	22531	13119
632	22563	13081
633	22597	13045
634	22636	13011
635	22713	12999
636	22752	12965
637	22796	12934
638	22843	12905
639	22876	12867
640	22911	12831
641	22945	12795
642	22978	12757
643	23010	12720
644	23074	12699
645	23107	12662
646	23141	12625
647	23177	12590
648	23210	12552
649	23240	12514
650	23276	12478
651	23320	12446
652	23350	12408
653	23381	12370
654	23413	12332
655	23461	12303
656	23495	12266
657	23530	12230
658	23563	12193
659	23599	12157
660	23634	12120
661	23668	12084
662	23699	12046
663	23731	12008
664	23793	11986
665	23826	11948
666	23862	11913
667	23894	11875
668	23927	11838
669	23956	11799
670	23994	11764
671	24066	11746
672	24104	11711
673	24137	11674
674	24171	11638
675	24204	11601
676	24234	11562
677	24268	11525
678	24302	11488
679	24335	11452
680	24367	11414
681	24399	11376
682	24432	11339
683	24464	11302
684	24496	11264
685	24542	11233
686	24579	11198
687	24610	11160
688	24641	11122
689	24677	11087
690	24716	11052
691	24764	11022
692	24795	10984
693	24825	10946
694	24858	10909
695	24889	10871
696	24924	10834
697	24953	10796
698	24981	10757
699	25014	10720
700	25046	10682
701	25079	10646
702	25114	10610
703	25149	10574
704	25182	10537
705	25219	10502
706	25254	10465
707	25287	10429
708	25319	10391
709	25351	10354
710	25382	10317
711	25417	10281
712	25448	10243
713	25484	10207
714	25526	10175
715	25558	10137
716	25598	10103
717	25631	10066
718	25683	10037
719	25718	10001
720	25753	9965
721	25792	9931
722	25837	9898
723	25889	9869
724	25973	9851
725	26038	9827
726	26070	9789
727	26102	9752
728	26133	9715
729	26169	9678
730	26209	9644
731	26253	9611
732	26332	9591
733	26379	9559
734	26414	9523
735	26448	9486
736	26486	9451
737	26530	9418
738	26561	9380
739	26593	9343
740	26627	9306
741	26659	9269
742	26688	9231
743	26719	9193
744	26751	9156
745	26815	9130
746	26866	9099
747	26920	9069
748	26966	9036
749	26999	8999
750	27033	8963
751	27064	8925
752	27106	8891
753	27138	8854
754	27171	8817
755	27201	8779
756	27233	8742
757	27268	8705
758	27305	8670
759	27337	8632
760	27372	8596
761	27408	8560
762	27485	8537
763	27555	8512
764	27621	8485
765	27692	8459
766	27723	8421
767	27755	8384
768	27790	8347
769	27830	8312
770	27872	8278
771	27905	8241
772	27940	8205
773	27980	8170
774	28028	8137
775	28080	8105
776	28130	8073
777	28222	8053
778	28256	8016
779	28289	7979
780	28322	7941
781	28350	7903
782	28383	7866
783	28417	7829
784	28446	7791
785	28485	7755
786	28514	7717
787	28543	7679
788	28575	7641
789	28613	7605
790	28644	7568
791	28676	7531
792	28707	7493
793	28753	7459
794	28779	7421
795	28812	7384
796	28842	7346
797	28875	7309
798	28904	7271
799	28934	7233
800	28967	7196
801	28999	7159
802	29028	7121
803	29061	7084
804	29088	7046
805	29120	7009
806	29152	6972
807	29181	6934
808	29212	6896
809	29245	6860
810	29277	6822
811	29303	6784
812	29330	6746
813	29361	6709
814	29394	6672
815	29424	6635
816	29457	6598
817	29493	6562
818	29527	6525
819	29560	6488
820	29592	6451
821	29619	6414
822	29664	6379
823	29693	6342
824	29726	6305
825	29756	6268
826	29786	6231
827	29818	6194
828	29857	6158
829	29888	6121
830	29920	6084
831	29960	6049
832	29991	6012
833	30034	5978
834	30064	5940
835	30092	5903
836	30122	5866
837	30155	5829
838	30188	5792
839	30216	5755
840	30247	5718
841	30277	5681
842	30305	5644
843	30339	5607
844	30374	5571
845	30405	5534
846	30439	5498
847	30481	5463
848	30512	5426
849	30549	5391
850	30603	5358
851	30633	5321
852	30663	5284
853	30697	5248
854	30727	5211
855	30757	5174
856	30786	5137
857	30820	5100
858	30854	5064
859	30884	5027
860	30916	4991
861	30959	4956
862	30989	4919
863	31019	4882
864	31050	4846
865	31084	4809
866	31115	4773
867	31149	4736
868	31182	4700
869	31214	4664
870	31244	4627
871	31277	4591
872	31311	4555
873	31342	4518
874	31373	4481
875	31410	4446
876	31449	4410
877	31483	4374
878	31514	4338
879	31548	4302
880	31584	4266
881	31618	4230
882	31649	4193
883	31696	4159
884	31726	4122
885	31759	4086
886	31790	4050
887	31823	4013
888	31856	3977
889	31892	3941
890	31924	3905
891	31959	3869
892	31988	3832
893	32019	3796
894	32047	3759
895	32078	3723
896	32108	3686
897	32135	3650
898	32170	3614
899	32209	3578
900	32237	3542
901	32268	3505
902	32305	3470
903	32333	3433
904	32368	3397
905	32398	3361
906	32432	3325
907	32474	3290
908	32506	3254
909	32547	3219
910	32596	3184
911	32639	3149
912	32684	3114
913	32760	3082
914	32793	3046
915	32830	3010
916	32863	2974
917	32898	2938
918	32930	2902
919	32963	2866
920	32996	2830
921	33024	2793
922	33063	2758
923	33112	2723
924	33155	2688
925	33198	2653
926	33283	2621
927	33327	2585
928	33361	2549
929	33393	2513
930	33427	2477
931	33460	2441
932	33496	2405
933	33529	2369
934	33561	2333
935	33595	2297
936	33627	2260
937	33659	2224
938	33695	2188
939	33723	2152
940	33756	2116
941	33787	2080
942	33820	2044
943	33852	2008
944	33884	1972
945	33915	1935
946	33946	1899
947	33979	1863
948	34008	1827
949	34038	1791
950	34069	1755
951	34102	1719
952	34141	1683
953	34183	1648
954	34214	1612
955	34245	1576
956	34277	1540
957	34310	1504
958	34340	1468
959	34373	1432
960	34405	1396
961	34439	1360
962	34472	1324
963	34500	1288
964	34549	1253
965	34585	1217
966	34619	1181
967	34655	1145
968	34688	1109
969	34725	1073
970	34757	1038
971	34802	1002
972	34833	966
973	34867	930
974	34927	895
975	34960	859
976	34994	823
977	35023	787
978	35059	752
979	35094	716
980	35128	680
981	35162	644
982	35210	608
983	35242	573
984	35270	537
985	35303	501
986	35336	465
987	35377	429
988	35418	393
989	35452	358
990	35485	322
991	35519	286
992	35552	250
993	35585	214
994	35617	178
995	35660	143
996	35691	107
997	35722	71
998	35754	35
999	35784	0
